Schorndorf, Stadt;73614;  56,83; 39 520; 19 385; 20 135
Hofheim am Taunus, Kreisstadt;65719;  57,38; 39 517; 19 265; 20 252
Hückelhoven, Stadt;41836;  61,27; 39 423; 19 502; 19 921
Freital, Stadt;01705;  40,45; 39 361; 19 177; 20 184
Ettlingen, Stadt;76275;  56,75; 39 332; 19 208; 20 124
Schwäbisch Hall, Stadt;74523;  104,24; 39 328; 19 058; 20 270
Ahaus, Stadt;48683;  151,24; 39 314; 19 651; 19 663
Ostfildern, Stadt;73760;  22,81; 38 835; 19 188; 19 647
Würselen, Stadt;52146;  34,39; 38 823; 19 033; 19 790
Maintal, Stadt;63477;  32,40; 38 739; 19 085; 19 654
Mettmann, Stadt;40822;  42,56; 38 734; 18 661; 20 073
Buchholz in der Nordheide, Stadt;21244;  74,76; 38 689; 18 512; 20 177
Pirna, Stadt;01796;  53,06; 38 187; 18 556; 19 631
Haltern am See, Stadt;45721;  159,03; 37 893; 18 455; 19 438
Niederkassel, Stadt;53859;  35,79; 37 828; 18 674; 19 154
Bernau bei Berlin, Stadt;16321;  104,17; 37 725; 18 378; 19 347
Neu-Isenburg, Stadt;63263;  24,31; 37 563; 18 508; 19 055
Kamp-Lintfort, Stadt;47475;  63,14; 37 414; 18 402; 19 012
Langen (Hessen), Stadt;63225;  29,12; 37 252; 18 343; 18 909
Fürstenfeldbruck, GKSt;82256;  32,53; 37 176; 18 425; 18 751
Warendorf, Stadt;48231;  176,88; 37 127; 18 041; 19 086
Greven, Stadt;48268;  140,26; 37 097; 18 318; 18 779
Beckum, Stadt;59269;  111,46; 36 729; 18 170; 18 559
Papenburg, Stadt;26871;  118,44; 36 698; 18 645; 18 053
Backnang, Stadt;71522;  39,38; 36 633; 18 172; 18 461
Königs Wusterhausen, Stadt;15711;  96,04; 36 468; 17 909; 18 559
Coesfeld, Stadt;48653;  141,36; 36 374; 17 907; 18 467
Erding, GKSt;85435;  54,61; 36 291; 17 565; 18 726
Emsdetten, Stadt;48282;  72,06; 36 288; 18 025; 18 263
Voerde (Niederrhein), Stadt;46562;  53,49; 36 273; 17 748; 18 525
St. Ingbert, Stadt;66386;  49,95; 36 069; 17 305; 18 764
Wesseling, Stadt;50389;  23,37; 35 768; 17 691; 18 077
Porta Westfalica, Stadt;32457;  105,22; 35 698; 17 648; 18 050
Suhl, Stadt;98527;  103,03; 35 608; 17 337; 18 271
Sinsheim, Stadt;74889;  126,99; 35 410; 17 681; 17 729
Kehl, Stadt;77694;  75,07; 35 391; 17 487; 17 904
Lage, Stadt;32791;  76,04; 35 099; 17 317; 17 782
Tuttlingen, Stadt;78532;  90,45; 34 946; 17 378; 17 568
Meppen, Stadt;49716;  188,40; 34 935; 17 210; 17 725
Kempen, Stadt;47906;  68,80; 34 865; 16 997; 17 868
Saarlouis, Kreisstadt;66740;  43,28; 34 849; 16 960; 17 889
Limburg a.d. Lahn, Kreisstadt;65549;  45,15; 34 808; 17 183; 17 625
Wermelskirchen, Stadt;42929;  74,80; 34 638; 16 917; 17 721
Datteln, Stadt;45711;  66,10; 34 555; 16 930; 17 625
Zweibrücken, Stadt;66482;  70,64; 34 428; 17 012; 17 416
Winsen (Luhe), Stadt;21423;  109,79; 34 284; 16 838; 17 446
Cloppenburg, Stadt;49661;  70,86; 34 216; 16 825; 17 391
Mörfelden-Walldorf, Stadt;64546;  44,15; 34 135; 17 211; 16 924
Leer (Ostfriesland), Stadt;26789;  70,11; 34 129; 17 008; 17 121
Viernheim, Stadt;68519;  48,40; 34 100; 16 734; 17 366
Merseburg, Stadt;06217;  53,76; 33 931; 16 526; 17 405
Barsinghausen, Stadt;30890;  102,81; 33 922; 16 739; 17 183
Dietzenbach, Kreisstadt;63128;  21,67; 33 903; 16 934; 16 969
Radebeul, Stadt;01445;  26,14; 33 826; 16 333; 17 493
Hemer, Stadt4);58675;  67,66;/;/;/
Geldern, Stadt;47608;  96,97; 33 778; 16 901; 16 877
Seelze, Stadt;30926;  54,08; 33 763; 16 704; 17 059
Balingen, Stadt;72336;  90,32; 33 750; 16 407; 17 343
Crailsheim, Stadt;74564;  109,08; 33 735; 16 962; 16 773
Goch, Stadt;47574;  115,43; 33 701; 16 885; 16 816
Uelzen, Hansestadt;29525;  136,84; 33 633; 16 338; 17 295
Steinfurt, Stadt;48565;  111,67; 33 633; 16 678; 16 955
Hoyerswerda, Stadt;02977;  95,53; 33 552; 16 132; 17 420
Bernburg (Saale), Stadt;06406;  113,48; 33 536; 16 409; 17 127
Kornwestheim, Stadt;70806;  14,65; 33 502; 16 599; 16 903
Bad Vilbel, Stadt;61118;  25,68; 33 458; 16 229; 17 229
Wedel, Stadt;22880;  33,82; 33 322; 16 155; 17 167
Mühlhausen/Thüringen, Stadt;99974;  86,74; 33 214; 16 080; 17 134
Korschenbroich, Stadt;41352;  55,26; 32 947; 16 040; 16 907
Ahrensburg, Stadt;22926;  35,30; 32 936; 15 630; 17 306
Wernigerode, Stadt;38855;  170,18; 32 911; 15 624; 17 287
Rheinfelden (Baden), Stadt;79618;  62,82; 32 804; 16 069; 16 735
Altenburg, Stadt;04600;  45,69; 32 788; 15 888; 16 900
Naumburg (Saale), Stadt;06618;  129,90; 32 784; 15 889; 16 895
Deggendorf, GKSt;94469;  77,14; 32 782; 16 090; 16 692
Biberach an der Riß, Stadt;88400;  72,15; 32 704; 16 108; 16 596
Lampertheim, Stadt;68623;  72,28; 32 554; 16 113; 16 441
Jülich, Stadt;52428;  90,39; 32 454; 16 197; 16 257
Vechta, Stadt;49377;  87,88; 32 179; 15 943; 16 236
Fürstenwalde/Spree, Stadt;15517;  70,68; 32 025; 15 884; 16 141
Delbrück, Stadt;33129;  157,28; 31 949; 16 295; 15 654
Forchheim, GKSt;91301;  44,45; 31 942; 15 366; 16 576
Bad Nauheim, Stadt;61231;  32,54; 31 924; 15 040; 16 884
Itzehoe, Stadt;25524;  28,03; 31 896; 15 266; 16 630
Georgsmarienhütte, Stadt;49124;  55,45; 31 594; 15 471; 16 123
